Removing conda
Loading conda
I: 0.0, A: 0.0, B: 0.0, trace: 1.1503527164459229, determinant: 0.32798251509666443, classification: unstable node source, stable: False
I: 0.5899999737739563, A: 0.17919999361038208, B: 0.986299991607666, trace: -1.4270495176315308, determinant: -0.2608174979686737, classification: unstable saddle node, stable: False
I: 0.5899999737739563, A: 0.07410000264644623, B: 0.9858999848365784, trace: -1.8122003078460693, determinant: 0.42792895436286926, classification: stable node sink, stable: True
I: 0.5899999737739563, A: 0.7944999933242798, B: 0.9886999726295471, trace: -2.6451172828674316, determinant: 1.3758231401443481, classification: stable node sink, stable: True
I: 0.6000000238418579, A: 0.07800000160932541, B: 0.9858999848365784, trace: -1.7818444967269897, determinant: 0.37879934906959534, classification: stable node sink, stable: True
I: 0.6000000238418579, A: 0.17319999635219574, B: 0.986299991607666, trace: -1.4352912902832031, determinant: -0.2422923892736435, classification: unstable saddle node, stable: False
I: 0.6000000238418579, A: 0.7950000166893005, B: 0.9886999726295471, trace: -2.649378776550293, determinant: 1.3837491273880005, classification: stable node sink, stable: True
I: 0.6100000143051147, A: 0.08240000158548355, B: 0.9858999848365784, trace: -1.7500897645950317, determinant: 0.3270471394062042, classification: stable node sink, stable: True
I: 0.6100000143051147, A: 0.16660000383853912, B: 0.986299991607666, trace: -1.4454740285873413, determinant: -0.22022680938243866, classification: unstable saddle node, stable: False
I: 0.6100000143051147, A: 0.7955999970436096, B: 0.9886999726295471, trace: -2.6542038917541504, determinant: 1.3927046060562134, classification: stable node sink, stable: True
I: 0.6200000047683716, A: 0.08760000020265579, B: 0.9858999848365784, trace: -1.715651512145996, determinant: 0.27044498920440674, classification: stable node sink, stable: True
I: 0.6200000047683716, A: 0.15919999778270721, B: 0.986299991607666, trace: -1.4584256410598755, determinant: -0.1931716352701187, classification: unstable saddle node, stable: False
I: 0.6200000047683716, A: 0.7961000204086304, B: 0.9886999726295471, trace: -2.6584854125976562, determinant: 1.4006742238998413, classification: stable node sink, stable: True
I: 0.6299999952316284, A: 0.094200000166893, B: 0.9858999848365784, trace: -1.6762535572052002, determinant: 0.20497222244739532, classification: stable node sink, stable: True
I: 0.6299999952316284, A: 0.15049999952316284, B: 0.9861999750137329, trace: -1.4750272035598755, determinant: -0.15785101056098938, classification: unstable saddle node, stable: False
I: 0.6299999952316284, A: 0.0940999984741211, B: 0.9858999848365784, trace: -1.6768239736557007, determinant: 0.20592544972896576, classification: stable node sink, stable: True
I: 0.6299999952316284, A: 0.7965999841690063, B: 0.9886999726295471, trace: -2.6627755165100098, determinant: 1.4086627960205078, classification: stable node sink, stable: True
I: 0.6399999856948853, A: 0.10369999706745148, B: 0.9860000014305115, trace: -1.6278728246688843, determinant: 0.12180531769990921, classification: stable node sink, stable: True
I: 0.6399999856948853, A: 0.1387999951839447, B: 0.9861999750137329, trace: -1.5031355619430542, determinant: -0.1036427766084671, classification: unstable saddle node, stable: False
I: 0.6399999856948853, A: 0.7972000241279602, B: 0.9886999726295471, trace: -2.667635440826416, determinant: 1.4176934957504272, classification: stable node sink, stable: True
I: 0.6399999856948853, A: 0.7971000075340271, B: 0.9886999726295471, trace: -2.6670756340026855, determinant: 1.4166725873947144, classification: stable node sink, stable: True
I: 0.6499999761581421, A: 0.7976999878883362, B: 0.9886999726295471, trace: -2.6719460487365723, determinant: 1.4257258176803589, classification: stable node sink, stable: True
I: 0.6600000262260437, A: 0.7982000112533569, B: 0.9886999726295471, trace: -2.6762664318084717, determinant: 1.4337795972824097, classification: stable node sink, stable: True
I: 0.6700000166893005, A: 0.7986999750137329, B: 0.9886999726295471, trace: -2.680595874786377, determinant: 1.4418528079986572, classification: stable node sink, stable: True
I: 0.6800000071525574, A: 0.7991999983787537, B: 0.9886999726295471, trace: -2.6849350929260254, determinant: 1.4499472379684448, classification: stable node sink, stable: True
I: 0.6899999976158142, A: 0.7997000217437744, B: 0.9886999726295471, trace: -2.689283847808838, determinant: 1.4580620527267456, classification: stable node sink, stable: True
I: 0.699999988079071, A: 0.8001999855041504, B: 0.9886999726295471, trace: -2.6936419010162354, determinant: 1.4661970138549805, classification: stable node sink, stable: True
I: 0.7099999785423279, A: 0.8007000088691711, B: 0.9886999726295471, trace: -2.698009729385376, determinant: 1.4743531942367554, classification: stable node sink, stable: True
I: 0.7200000286102295, A: 0.8011999726295471, B: 0.9886999726295471, trace: -2.7023868560791016, determinant: 1.4825294017791748, classification: stable node sink, stable: True
I: 0.7300000190734863, A: 0.8016999959945679, B: 0.9886999726295471, trace: -2.706773519515991, determinant: 1.4907262325286865, classification: stable node sink, stable: True
I: 0.7400000095367432, A: 0.8022000193595886, B: 0.9886999726295471, trace: -2.711169958114624, determinant: 1.4989444017410278, classification: stable node sink, stable: True
I: 0.75, A: 0.8026999831199646, B: 0.9886999726295471, trace: -2.715575695037842, determinant: 1.5071829557418823, classification: stable node sink, stable: True
I: 0.7599999904632568, A: 0.8032000064849854, B: 0.9886999726295471, trace: -2.719991445541382, determinant: 1.5154426097869873, classification: stable node sink, stable: True
I: 0.7699999809265137, A: 0.8036999702453613, B: 0.9886999726295471, trace: -2.724416732788086, determinant: 1.5237228870391846, classification: stable node sink, stable: True
I: 0.7799999713897705, A: 0.804099977016449, B: 0.9886999726295471, trace: -2.728269577026367, determinant: 1.5309556722640991, classification: stable node sink, stable: True
I: 0.7900000214576721, A: 0.8046000003814697, B: 0.9886999726295471, trace: -2.732713222503662, determinant: 1.5392756462097168, classification: stable node sink, stable: True
I: 0.800000011920929, A: 0.8051000237464905, B: 0.9886999726295471, trace: -2.737166404724121, determinant: 1.5476161241531372, classification: stable node sink, stable: True
I: 0.8100000023841858, A: 0.8055999875068665, B: 0.9886999726295471, trace: -2.741628885269165, determinant: 1.55597722530365, classification: stable node sink, stable: True
I: 0.8199999928474426, A: 0.8059999942779541, B: 0.9886999726295471, trace: -2.7455132007598877, determinant: 1.5632777214050293, classification: stable node sink, stable: True
I: 0.8299999833106995, A: 0.8065000176429749, B: 0.9886999726295471, trace: -2.7499942779541016, determinant: 1.571678638458252, classification: stable node sink, stable: True
I: 0.8399999737739563, A: 0.8069000244140625, B: 0.9886999726295471, trace: -2.7538936138153076, determinant: 1.5790117979049683, classification: stable node sink, stable: True
I: 0.8500000238418579, A: 0.8073999881744385, B: 0.9886999726295471, trace: -2.758392333984375, determinant: 1.5874509811401367, classification: stable node sink, stable: True
I: 0.8600000143051147, A: 0.8077999949455261, B: 0.9886999726295471, trace: -2.7623066902160645, determinant: 1.59481680393219, classification: stable node sink, stable: True
I: 0.8700000047683716, A: 0.8083000183105469, B: 0.9886999726295471, trace: -2.766824245452881, determinant: 1.6032966375350952, classification: stable node sink, stable: True
I: 0.8799999952316284, A: 0.8087000250816345, B: 0.9886999726295471, trace: -2.7707536220550537, determinant: 1.6106950044631958, classification: stable node sink, stable: True
I: 0.8899999856948853, A: 0.8091999888420105, B: 0.9886999726295471, trace: -2.7752890586853027, determinant: 1.619213581085205, classification: stable node sink, stable: True
I: 0.8999999761581421, A: 0.8095999956130981, B: 0.9886999726295471, trace: -2.779233694076538, determinant: 1.6266450881958008, classification: stable node sink, stable: True
I: 0.9100000262260437, A: 0.8100000023841858, B: 0.9886999726295471, trace: -2.7831859588623047, determinant: 1.6340923309326172, classification: stable node sink, stable: True
I: 0.9200000166893005, A: 0.8105000257492065, B: 0.9886999726295471, trace: -2.787748098373413, determinant: 1.6426692008972168, classification: stable node sink, stable: True
I: 0.9300000071525574, A: 0.8108999729156494, B: 0.9886999726295471, trace: -2.791715145111084, determinant: 1.6501489877700806, classification: stable node sink, stable: True
I: 0.9399999976158142, A: 0.8112999796867371, B: 0.9886999726295471, trace: -2.795689344406128, determinant: 1.657644271850586, classification: stable node sink, stable: True
I: 0.949999988079071, A: 0.8118000030517578, B: 0.9886999726295471, trace: -2.800279140472412, determinant: 1.6662803888320923, classification: stable node sink, stable: True
I: 0.9599999785423279, A: 0.8122000098228455, B: 0.9886999726295471, trace: -2.8042685985565186, determinant: 1.6738090515136719, classification: stable node sink, stable: True
I: 0.9700000286102295, A: 0.8126000165939331, B: 0.9886999726295471, trace: -2.808265447616577, determinant: 1.681353211402893, classification: stable node sink, stable: True
I: 0.9800000190734863, A: 0.8130000233650208, B: 0.9886999726295471, trace: -2.812269449234009, determinant: 1.6889128684997559, classification: stable node sink, stable: True
I: 0.9900000095367432, A: 0.8133999705314636, B: 0.9886999726295471, trace: -2.8162801265716553, determinant: 1.6964871883392334, classification: stable node sink, stable: True
